Frequency, Re(SMin1Min1), Im(SMin1Min1), Re(SMax1Min1), Im(SMax1Min1)
2.000000000000000000e+01,-4.438324997355828083e-01,-3.610897733476037264e-01,-3.298860367416980854e-01,-5.060184004437520006e-02
2.001200000000000045e+01,-4.496148942551926875e-01,-3.452406281299661983e-01,-3.373838275252030727e-01,-4.926972941601495681e-02
2.002400000000000091e+01,-4.548810474958215333e-01,-3.291775583941559669e-01,-3.448762826129565529e-01,-4.767662295702351782e-02
2.003600000000000136e+01,-4.596187344860755974e-01,-3.129195803672915055e-01,-3.523538934991859994e-01,-4.582169434905863231e-02
2.004799999999999827e+01,-4.638165280134441959e-01,-2.964864917881610551e-01,-3.598070978360100036e-01,-4.370449041478913221e-02
2.005999999999999872e+01,-4.674638576554656089e-01,-2.798988352287793968e-01,-3.672262959620761213e-01,-4.132493239949900504e-02
2.007199999999999918e+01,-4.705510678974879624e-01,-2.631778559502419013e-01,-3.746018673166044421e-01,-3.868331636308175447e-02
2.008399999999999963e+01,-4.730694748151428874e-01,-2.463454540064391185e-01,-3.819241866795915485e-01,-3.578031270386568263e-02
2.009600000000000009e+01,-4.750114207026106539e-01,-2.294241303304847268e-01,-3.891836401812727719e-01,-3.261696484026815196e-02
2.010800000000000054e+01,-4.763703259173799887e-01,-2.124369265822015351e-01,-3.963706410267934244e-01,-2.919468708056014231e-02
2.012000000000000099e+01,-4.771407370917953306e-01,-1.954073586041238930e-01,-4.034756448851315458e-01,-2.551526171502633764e-02
2.013200000000000145e+01,-4.773183707386891572e-01,-1.783593434363574814e-01,-4.104891648947729954e-01,-2.158083536851338954e-02
2.014399999999999835e+01,-4.769001511554827877e-01,-1.613171199861981875e-01,-4.174017862423192171e-01,-1.739391465470193840e-02
2.015599999999999881e+01,-4.758842414224780382e-01,-1.443051636338920640e-01,-4.242041802742017587e-01,-1.295736117647641739e-02
2.016799999999999926e+01,-4.742700662091553498e-01,-1.273480952977483482e-01,-4.308871181057484789e-01,-8.274385919428703731e-03
